category,group,module,value
development,nervous system development,violet,0
development,nervous system development,steelblue,0
development,nervous system development,royalblue,0
development,nervous system development,pink,0
development,reproductive process,salmon,1
development,reproductive process,sienna3,0
development,reproductive process,turquoise,0
development,reproductive process,darkred,0
development,reproductive process,darkmagenta,0
development,reproductive process,skyblue,0
development,reproductive process,white,0
development,reproductive process,green,0
development,reproductive process,violet,0
development,reproductive process,steelblue,0
development,reproductive process,royalblue,0
development,reproductive process,pink,0
development,post-embryonic development,salmon,0
development,post-embryonic development,sienna3,0
development,post-embryonic development,turquoise,0
development,post-embryonic development,darkred,0
development,post-embryonic development,darkmagenta,0
development,post-embryonic development,skyblue,0
development,post-embryonic development,white,0
development,post-embryonic development,green,0
development,post-embryonic development,violet,0
development,post-embryonic development,steelblue,0
development,post-embryonic development,royalblue,0
development,post-embryonic development,pink,1
metabolism,protein metabolism,salmon,1
metabolism,protein metabolism,sienna3,1
metabolism,protein metabolism,turquoise,1
metabolism,protein metabolism,darkred,0
metabolism,protein metabolism,darkmagenta,1
metabolism,protein metabolism,skyblue,1
metabolism,protein metabolism,white,1
metabolism,protein metabolism,green,1
metabolism,protein metabolism,violet,0
metabolism,protein metabolism,steelblue,0
metabolism,protein metabolism,royalblue,0
metabolism,protein metabolism,pink,1
metabolism,cellular metabolism,salmon,1
metabolism,cellular metabolism,sienna3,0
metabolism,cellular metabolism,turquoise,1
metabolism,cellular metabolism,darkred,0
metabolism,cellular metabolism,darkmagenta,1
metabolism,cellular metabolism,skyblue,0
metabolism,cellular metabolism,white,0
metabolism,cellular metabolism,green,0
metabolism,cellular metabolism,violet,0
metabolism,cellular metabolism,steelblue,0
metabolism,cellular metabolism,royalblue,0
metabolism,cellular metabolism,pink,1
metabolism,compound metabolism,salmon,0
metabolism,compound metabolism,sienna3,1
metabolism,compound metabolism,turquoise,1
metabolism,compound metabolism,darkred,0
metabolism,compound metabolism,darkmagenta,0
metabolism,compound metabolism,skyblue,0
metabolism,compound metabolism,white,0
metabolism,compound metabolism,green,1
metabolism,compound metabolism,violet,0
metabolism,compound metabolism,steelblue,0
metabolism,compound metabolism,royalblue,0
metabolism,compound metabolism,pink,1
metabolism,nucleic acid metabolism,salmon,0
metabolism,nucleic acid metabolism,sienna3,0
metabolism,nucleic acid metabolism,turquoise,1
metabolism,nucleic acid metabolism,darkred,0
metabolism,nucleic acid metabolism,darkmagenta,0
metabolism,nucleic acid metabolism,skyblue,0
metabolism,nucleic acid metabolism,white,0
metabolism,nucleic acid metabolism,green,0
metabolism,nucleic acid metabolism,violet,0
metabolism,nucleic acid metabolism,steelblue,0
metabolism,nucleic acid metabolism,royalblue,0
metabolism,nucleic acid metabolism,pink,0
metabolism,macromolecule metabolism,salmon,1
metabolism,macromolecule metabolism,sienna3,0
metabolism,macromolecule metabolism,turquoise,1
metabolism,macromolecule metabolism,darkred,0
metabolism,macromolecule metabolism,darkmagenta,0
metabolism,macromolecule metabolism,skyblue,0
metabolism,macromolecule metabolism,white,0
metabolism,macromolecule metabolism,green,1
metabolism,macromolecule metabolism,violet,0
metabolism,macromolecule metabolism,steelblue,0
metabolism,macromolecule metabolism,royalblue,0
metabolism,macromolecule metabolism,pink,0
metabolism,fatty acid metabolism,salmon,0
metabolism,fatty acid metabolism,sienna3,1
metabolism,fatty acid metabolism,turquoise,1
metabolism,fatty acid metabolism,darkred,0
metabolism,fatty acid metabolism,darkmagenta,0
metabolism,fatty acid metabolism,skyblue,0
metabolism,fatty acid metabolism,white,1
metabolism,fatty acid metabolism,green,1
metabolism,fatty acid metabolism,violet,0
metabolism,fatty acid metabolism,steelblue,0
metabolism,fatty acid metabolism,royalblue,0
metabolism,fatty acid metabolism,pink,0
